date,symbol,open,high,low,close,volume,volume To
2018-04-16,ETHEUR,432.75,436.97,403,412.81,9860.45,4077592.33
2018-04-15,ETHEUR,409.1,433.8,408.79,432.75,7504.22,3170572.22
2018-04-14,ETHEUR,399.2,417.8,395,409.1,7245.5,2943539.7
2018-04-13,ETHEUR,401.29,429.69,391.82,399.2,23795.63,9783433.16
2018-04-12,ETHEUR,347.2,403,335,401.29,27438.72,10211956.81
2018-04-11,ETHEUR,335.72,349.8,331.96,347.2,6707.79,2277138.89
2018-04-10,ETHEUR,323.3,338.6,319,335.72,5921.5,1940328.48
2018-04-09,ETHEUR,325.5,352.61,315,323.3,15258.4,5073691.37
2018-04-08,ETHEUR,313.45,328.99,313.45,325.5,3839.63,1240105.62
2018-04-07,ETHEUR,302.02,320,302,313.45,3600.9,1128745.24
2018-04-06,ETHEUR,311.65,314,297.15,302.02,7717.78,2329978.09
2018-04-05,ETHEUR,308.88,317.31,300.2,311.65,6176.07,1908106.68
2018-04-04,ETHEUR,339.48,339.55,302.23,308.88,12305.11,3889152.57
2018-04-03,ETHEUR,311.96,344.38,309.02,339.48,11980.89,3965908.57
2018-04-02,ETHEUR,307.86,319.97,304.32,311.96,5585.65,1750677.68
2018-04-01,ETHEUR,320.76,323.61,291.06,307.86,12972.8,3959048.3
2018-03-31,ETHEUR,319.2,350,316.06,320.76,9589.92,3136711.07
2018-03-30,ETHEUR,311.2,334.36,296.04,319.2,17444.69,5439323.04
2018-03-29,ETHEUR,362.96,363.99,308.77,311.2,25197.22,8331431.9
2018-03-28,ETHEUR,361.59,375.2,356.71,362.96,6981.75,2557786.08
2018-03-27,ETHEUR,392.37,395.21,360.28,361.59,10533.43,3920517.61
2018-03-26,ETHEUR,424.72,426.62,376.6,392.37,14917.08,5869880.23
2018-03-25,ETHEUR,422.54,434.96,418,424.72,3237.05,1375683.73
2018-03-24,ETHEUR,438.65,440.37,422.54,422.54,3412.15,1478581.36
2018-03-23,ETHEUR,437.69,438.99,412.42,438.65,7395.1,3130006.79
2018-03-22,ETHEUR,454.48,466.47,422.12,437.69,7236.33,3173716.97
2018-03-21,ETHEUR,456,486,445.01,454.48,10752.72,5015314.26
2018-03-20,ETHEUR,448.93,464.87,419,456,11725.79,5207835.0
2018-03-19,ETHEUR,439.46,459,421.02,448.93,15830.95,6975885.02
2018-03-18,ETHEUR,446.08,459.39,369.8,439.46,41384.42,16972286.15
2018-03-17,ETHEUR,490.3,495.99,439.99,446.08,9234.08,4293043.18
2018-03-16,ETHEUR,495.83,510,475.83,490.3,6134.78,3043989.27
2018-03-15,ETHEUR,496.86,505.66,463.57,495.83,10082.35,4923021.71
2018-03-14,ETHEUR,557.46,565.18,475,496.86,15270.96,7769815.63
2018-03-13,ETHEUR,565.7,578,551.3,557.46,4235.38,2382090.54
2018-03-12,ETHEUR,583.35,603.09,551.71,565.7,5872.01,3392347.97
2018-03-11,ETHEUR,556.24,595.7,542,583.35,6051.7,3457041.68
2018-03-10,ETHEUR,590.03,609.5,551,556.24,6731.46,3949526.65
2018-03-09,ETHEUR,570.57,593.62,520,590.03,14386.99,7969788.61
2018-03-08,ETHEUR,608,632.78,561,570.57,9118.0,5424937.73
2018-03-07,ETHEUR,658.18,664.34,585.2,608,12784.96,7878493.43
2018-03-06,ETHEUR,691.27,691.27,651.5,658.18,6082.22,4083939.5
2018-03-05,ETHEUR,699,700,691.27,691.27,3099.41,2162352.62
2018-03-04,ETHEUR,690.42,699,681.39,699,2153.77,1489429.12
2018-03-03,ETHEUR,694.3,704.35,686.11,690.42,2853.55,1988906.33
2018-03-02,ETHEUR,710,714.16,688.05,694.3,3864.86,2711772.55
2018-03-01,ETHEUR,697.51,716.6,696.58,710,3064.58,2177945.87
2018-02-28,ETHEUR,715.6,724.89,696.56,697.51,4772.73,3395471.62
2018-02-27,ETHEUR,704.24,727.52,702,715.6,5396.35,3872734.83
2018-02-26,ETHEUR,685.46,714.54,680,704.24,6600.54,4631494.82
2018-02-25,ETHEUR,679.07,692.61,666.66,685.46,4253.12,2897560.59
2018-02-24,ETHEUR,699.37,711.12,661,679.07,5253.23,3580336.12
2018-02-23,ETHEUR,655,719.98,641.28,699.37,11468.48,7944639.3
2018-02-22,ETHEUR,687.38,710,641,655,11487.36,7665132.26
2018-02-21,ETHEUR,721.35,738.5,663,687.38,14479.69,10082814.73
2018-02-20,ETHEUR,759.64,775.55,712,721.35,11991.65,9030451.51
2018-02-19,ETHEUR,742.81,769.98,741.46,759.64,4783.06,3642415.37
2018-02-18,ETHEUR,790.98,795,733.29,742.81,10846.39,8229478.58
2018-02-17,ETHEUR,757.4,792.19,754.36,790.98,7430.43,5794321.9
2018-02-16,ETHEUR,750.55,759.44,732.96,757.4,6641.95,4967028.16
2018-02-15,ETHEUR,743.38,769.71,721.47,750.55,18002.23,13486345.61
2018-02-14,ETHEUR,684.38,745,681.15,743.38,20931.75,15081870.25
2018-02-13,ETHEUR,701.42,702.86,675.9,684.38,8473.62,5816995.15
2018-02-12,ETHEUR,664.59,709,661.01,701.42,10919.07,7628809.14
2018-02-11,ETHEUR,695.4,705.51,635.66,664.59,16420.46,11036411.17
2018-02-10,ETHEUR,717,748,674.01,695.4,25077.64,17821224.46
2018-02-09,ETHEUR,664.26,725,640,717,23908.13,16509292.61
2018-02-08,ETHEUR,614.31,695.14,613.06,664.26,28792.19,19082426.36
2018-02-07,ETHEUR,636,713.99,586,614.31,53132.97,35302127.47
2018-02-06,ETHEUR,550.01,657.17,450.09,636,111249.5,61808043.91
2018-02-05,ETHEUR,658.99,682.98,485,550.01,84407.56,48390989.38
2018-02-04,ETHEUR,780,784,631,658.99,30359.44,21086802.06
2018-02-03,ETHEUR,736.76,809,681.21,780,23553.29,18057796.51
2018-02-02,ETHEUR,812.01,812.01,560.27,736.76,91604.28,64686869.45
2018-02-01,ETHEUR,888,915,736,812.01,48020.99,40080397.48
2018-01-31,ETHEUR,856.04,899,826.37,888,14360.43,12519168.12
2018-01-30,ETHEUR,941.01,948.87,825,856.04,30970.62,27439279.65
2018-01-29,ETHEUR,982.27,987.42,930.5,941.01,13723.4,13055951.6
2018-01-28,ETHEUR,885,993.09,882.84,982.27,22954.67,21878616.62
2018-01-27,ETHEUR,847.99,895.5,840.02,885,11879.8,10357051.5
2018-01-26,ETHEUR,847.6,863.52,803.28,847.99,17098.33,14256098.95
2018-01-25,ETHEUR,856.09,879.8,828,847.6,14582.0,12472162.75
2018-01-24,ETHEUR,806.54,859.5,785.89,856.09,13612.31,11322027.29
2018-01-23,ETHEUR,827,839.95,752,806.54,21800.29,17423297.95
2018-01-22,ETHEUR,867,900.08,752.64,827,31300.34,25770733.41
2018-01-21,ETHEUR,953.39,953.69,842.86,867,21464.82,19134813.85
2018-01-20,ETHEUR,866.81,958.74,866.8,953.39,16613.83,15364280.75
2018-01-19,ETHEUR,865.52,913.97,841,866.81,17660.6,15516228.39
2018-01-18,ETHEUR,845.43,939.99,790,865.52,43358.48,38130990.37
2018-01-17,ETHEUR,872,935.09,602.32,845.43,110223.33,83798855.59
2018-01-16,ETHEUR,1059.44,1065.17,680.9,872,94117.08,82986039.97
