date,symbol,open,high,low,close,volume,volume USD
2019-01-19,XRPUSD,0.3214,0.3354,0.3195,0.3285,6388355.03,2090834.99
2019-01-18,XRPUSD,0.3272,0.3275,0.315,0.3214,7352805.74,2366767.61
2019-01-17,XRPUSD,0.3272,0.3301,0.321,0.3272,8332152.45,2704371.25
2019-01-16,XRPUSD,0.3241,0.3343,0.3224,0.3272,10967857.46,3577458.43
2019-01-15,XRPUSD,0.3318,0.3348,0.3192,0.3241,10218771.78,3360307.86
2019-01-14,XRPUSD,0.3155,0.339,0.3147,0.3318,15219744.48,4982259.46
2019-01-13,XRPUSD,0.3283,0.3317,0.3112,0.3155,11330893.36,3619152.88
2019-01-12,XRPUSD,0.3286,0.3322,0.3255,0.3283,6030418.19,1979555.41
2019-01-11,XRPUSD,0.3277,0.3349,0.3229,0.3286,20007979.96,6595145.62
2019-01-10,XRPUSD,0.3674,0.3824,0.32,0.3277,36320985.37,12590218.43
2019-01-09,XRPUSD,0.3638,0.3721,0.3604,0.3674,17568249.61,6415109.23
2019-01-08,XRPUSD,0.3624,0.3706,0.3568,0.3638,13391858.36,4863620.15
2019-01-07,XRPUSD,0.3652,0.3767,0.3555,0.3624,15395581.14,5644544.28
2019-01-06,XRPUSD,0.3495,0.3692,0.347,0.3652,13388458.62,4802887.26
2019-01-05,XRPUSD,0.3569,0.362,0.3475,0.3495,8537175.72,3030771.96
2019-01-04,XRPUSD,0.3541,0.361,0.3462,0.3569,13278813.05,4698332.55
2019-01-03,XRPUSD,0.371,0.3721,0.3502,0.3541,12064878.75,4312188.28
2019-01-02,XRPUSD,0.364,0.3774,0.355,0.371,10065374.49,3671660.12
2019-01-01,XRPUSD,0.3484,0.3653,0.3439,0.364,9807545.13,3458689.13
2018-12-31,XRPUSD,0.3673,0.3721,0.3432,0.3484,14893039.49,5273219.89
2018-12-30,XRPUSD,0.3589,0.369,0.3541,0.3673,12723104.61,4599360.91
2018-12-29,XRPUSD,0.374,0.383,0.354,0.3589,20091593.39,7465934.95
2018-12-28,XRPUSD,0.3365,0.3824,0.3308,0.374,30726812.55,11070023.57
2018-12-27,XRPUSD,0.3757,0.3772,0.3261,0.3365,20212365.69,7106202.97
2018-12-26,XRPUSD,0.379,0.391,0.355,0.3757,16513597.39,6113262.14
2018-12-25,XRPUSD,0.4044,0.4067,0.3613,0.379,24410374.53,9174180.59
2018-12-24,XRPUSD,0.3687,0.451,0.3683,0.4044,54064978.54,22544137.87
2018-12-23,XRPUSD,0.361,0.381,0.3565,0.3687,17158957.28,6295163.04
2018-12-22,XRPUSD,0.3542,0.364,0.3441,0.361,13043689.96,4601372.59
2018-12-21,XRPUSD,0.3741,0.383,0.3455,0.3542,30599757.29,11167659.08
