date,symbol,open,high,low,close,volume,volume to
2018-08-02,BTCEUR,6528.65,6628.91,6440.22,6510.31,1084.88,7081113.46
2018-08-01,BTCEUR,6614.43,6614.43,6366.22,6528.65,1847.83,11973661.1
2018-07-31,BTCEUR,6988.46,6988.46,6550.88,6614.43,1859.61,12475292.24
2018-07-30,BTCEUR,7052.66,7098.33,6718.34,6988.46,1596.2,11055337.39
2018-07-29,BTCEUR,7055.01,7092,6979.89,7052.66,427.98,3011652.26
2018-07-28,BTCEUR,7025,7084.06,6939.08,7055.01,535.01,3752548.01
2018-07-27,BTCEUR,6815.95,7100,6705,7025,1879.44,12954092.5
2018-07-26,BTCEUR,6970.01,7130,6755,6815.95,1713.38,11949454.22
2018-07-25,BTCEUR,7189.86,7256,6884.36,6970.01,2503.78,17637231.86
2018-07-24,BTCEUR,6609.73,7250,6601.03,7189.86,3202.56,22335945.41
2018-07-23,BTCEUR,6320.2,6669.99,6306.78,6609.73,1855.66,12216710.45
2018-07-22,BTCEUR,6325.4,6444.57,6267.01,6320.2,608.45,3878657.68
2018-07-21,BTCEUR,6260.19,6363,6163,6325.4,589.43,3702976.27
2018-07-20,BTCEUR,6418.3,6580,6197.05,6260.19,1634.48,10404274.89
2018-07-19,BTCEUR,6330.31,6490.96,6239.61,6418.3,1501.11,9586995.39
2018-07-18,BTCEUR,6275.13,6514.2,6221,6330.31,2535.56,16159559.26
2018-07-17,BTCEUR,5729.94,6400,5673.76,6275.13,2528.5,15351090.27
2018-07-16,BTCEUR,5435.2,5749,5417.86,5729.94,3189.4,17695864.19
2018-07-15,BTCEUR,5375.71,5482.95,5351,5435.2,403.76,2196450.42
2018-07-14,BTCEUR,5338.7,5440,5306.49,5375.71,398.23,2134345.11
2018-07-13,BTCEUR,5360,5432,5250,5338.7,929.75,4984659.42
2018-07-12,BTCEUR,5469.99,5470.01,5218,5360,1190.4,6327197.65
2018-07-11,BTCEUR,5378.9,5478.44,5366.03,5469.99,947.75,5147941.33
2018-07-10,BTCEUR,5676.09,5680,5362.01,5378.9,1395.08,7698757.41
2018-07-09,BTCEUR,5718.66,5792.01,5652.92,5676.09,917.39,5243382.18
2018-07-08,BTCEUR,5758.73,5773,5682.58,5718.66,481.58,2764164.2
2018-07-07,BTCEUR,5641.39,5800,5563.98,5758.73,445.86,2515919.16
2018-07-06,BTCEUR,5600.69,5673.23,5524.2,5641.39,833.25,4663705.71
2018-07-05,BTCEUR,5658.94,5750,5542.77,5600.69,1079.11,6095055.39
2018-07-04,BTCEUR,5592.97,5835,5507.77,5658.94,932.16,5300813.82
2018-07-03,BTCEUR,5695.36,5739.78,5563.15,5592.97,966.35,5480620.27
2018-07-02,BTCEUR,5454.18,5762.46,5400,5695.36,1472.6,8286927.44
2018-07-01,BTCEUR,5467.89,5497.8,5365.72,5454.18,484.14,2630738.79
2018-06-30,BTCEUR,5300,5523,5286.98,5467.89,909.16,4954241.1
2018-06-29,BTCEUR,5069.64,5375.86,4968.39,5300,1769.6,9004513.11
2018-06-28,BTCEUR,5312.21,5328.99,5031.77,5069.64,1574.33,8241179.21
2018-06-27,BTCEUR,5219.45,5367.84,5153.92,5312.21,1030.69,5416300.93
2018-06-26,BTCEUR,5343.6,5380,5204.5,5219.45,1009.39,5363216.76
2018-06-25,BTCEUR,5288.01,5443.72,5209.49,5343.6,1406.15,7491358.69
2018-06-24,BTCEUR,5307.14,5401.84,4958.48,5288.01,1594.66,8196939.83
2018-06-23,BTCEUR,5210.51,5379.53,5184.38,5307.14,755.23,3981909.44
2018-06-22,BTCEUR,5801.14,5803.5,5106.99,5210.51,2306.56,12403651.44
2018-06-21,BTCEUR,5834.99,5888.48,5765.82,5801.14,721.63,4203474.92
2018-06-20,BTCEUR,5829.31,5882.99,5675.79,5834.99,731.12,4226470.14
2018-06-19,BTCEUR,5775.57,5944.48,5740.43,5829.31,1111.74,6471887.79
2018-06-18,BTCEUR,5560.88,5864.08,5511.01,5775.57,1466.71,8284337.98
2018-06-17,BTCEUR,5605.66,5660.8,5552.31,5560.88,577.36,3232318.23
2018-06-16,BTCEUR,5519.9,5656.99,5465.18,5605.66,579.1,3227550.42
2018-06-15,BTCEUR,5753.3,5768.64,5503.03,5519.9,1150.36,6501931.0
2018-06-14,BTCEUR,5348.74,5808,5335.02,5753.3,2500.1,13939436.24
2018-06-13,BTCEUR,5577.53,5639.01,5211,5348.74,2485.38,13501434.69
2018-06-12,BTCEUR,5871.01,5871.01,5501.74,5577.53,2360.65,13454316.83
2018-06-11,BTCEUR,5759.01,5899,5620.55,5871.01,2097.96,12059335.66
2018-06-10,BTCEUR,6401.4,6401.41,5712,5759.01,2394.53,14344798.63
2018-06-09,BTCEUR,6487.51,6535,6401.39,6401.4,398.99,2589056.66
2018-06-08,BTCEUR,6534.74,6534.74,6435,6487.51,731.49,4745753.07
2018-06-07,BTCEUR,6514.68,6586.57,6484.19,6534.74,790.43,5158807.86
2018-06-06,BTCEUR,6509.63,6560,6383,6514.68,922.41,5973173.7
2018-06-05,BTCEUR,6420.76,6551.26,6330,6509.63,1183.37,7605737.37
2018-06-04,BTCEUR,6618.69,6652.99,6375,6420.76,1007.88,6511261.88
2018-06-03,BTCEUR,6569.82,6668.12,6560,6618.69,677.95,4490181.13
2018-06-02,BTCEUR,6449.77,6600,6405.66,6569.82,654.14,4283529.6
2018-06-01,BTCEUR,6414.16,6521.06,6318.78,6449.77,909.11,5837932.84
2018-05-31,BTCEUR,6346.19,6528.48,6301.8,6414.16,1023.5,6611027.47
2018-05-30,BTCEUR,6477.56,6549.89,6261,6346.19,1132.84,7261408.12
2018-05-29,BTCEUR,6114.37,6545.88,6080,6477.56,1658.37,10542685.81
2018-05-28,BTCEUR,6297.01,6368.71,6101,6114.37,1351.81,8396955.2
2018-05-27,BTCEUR,6313.47,6344.32,6225.77,6297.01,693.82,4363646.6
2018-05-26,BTCEUR,6431.81,6544.44,6287.6,6313.47,544.52,3510963.44
2018-05-25,BTCEUR,6479.03,6545.23,6280,6431.81,1138.17,7289384.88
2018-05-24,BTCEUR,6418.58,6600,6200,6479.03,1996.6,12775891.49
2018-05-23,BTCEUR,6801,6833.01,6380,6418.58,2772.91,18298968.08
2018-05-22,BTCEUR,7113.68,7130.66,6787,6801,1214.9,8474705.48
2018-05-21,BTCEUR,7239.5,7320,7076.51,7113.68,953.5,6861388.36
2018-05-20,BTCEUR,7013.84,7285,6960.01,7239.5,613.4,4383827.97
2018-05-19,BTCEUR,7014.5,7118,6940,7013.84,404.34,2844632.79
2018-05-18,BTCEUR,6859.31,7042.37,6751.01,7014.5,1026.5,7071186.35
2018-05-17,BTCEUR,7065,7160,6800.01,6859.31,1100.88,7707858.62
2018-05-16,BTCEUR,7180.47,7200,6860.98,7065,1886.3,13233381.09
2018-05-15,BTCEUR,7256.9,7420,7128,7180.47,1588.13,11561787.46
2018-05-14,BTCEUR,7299.3,7450,6889,7256.9,2700.44,19347472.14
2018-05-13,BTCEUR,7092,7349,7016.38,7299.3,955.58,6902575.56
2018-05-12,BTCEUR,7055.02,7298.14,6873,7092,1610.95,11385269.46
2018-05-11,BTCEUR,7587.65,7589.31,7014.5,7055.02,2699.87,19653431.39
2018-05-10,BTCEUR,7847.53,7920,7560.64,7587.65,1175.99,9138367.07
2018-05-09,BTCEUR,7743.4,7900,7580,7847.53,1355.7,10519350.62
2018-05-08,BTCEUR,7856.95,7942,7651.05,7743.4,1402.89,10904303.93
2018-05-07,BTCEUR,8015.01,8035.58,7703.79,7856.95,1755.13,13745278.52
2018-05-06,BTCEUR,8210,8275,7899,8015.01,1246.71,9983170.52
2018-05-05,BTCEUR,8108.95,8321,8077.57,8210,1309.58,10768970.94
2018-05-04,BTCEUR,8099.28,8166,7858.7,8108.95,1933.9,15606578.27
2018-05-03,BTCEUR,7693.75,8149.99,7640.05,8099.28,2454.16,19317883.53
2018-05-02,BTCEUR,7540.98,7717,7483.82,7693.75,1437.03,10947570.75
2018-05-01,BTCEUR,7654.02,7659,7339,7540.98,1464.46,10944184.16
2018-04-30,BTCEUR,7752.88,7777.77,7554.57,7654.02,1373.66,10537633.04
2018-04-29,BTCEUR,7695,7800,7594.97,7752.88,974.29,7509822.79
2018-04-28,BTCEUR,7372.35,7745.25,7340,7695,1054.84,8067304.68
2018-04-27,BTCEUR,7661,7777,7360,7372.35,2071.36,15772468.85
2018-04-26,BTCEUR,7291.02,7694,7120.37,7661,2941.03,21604770.47
2018-04-25,BTCEUR,7930.35,7972.78,7180.37,7291.02,5760.99,43207236.44
2018-04-24,BTCEUR,7314.52,7995,7314.52,7930.35,3433.33,26318080.7
2018-04-23,BTCEUR,7175,7347,7150,7314.52,1571.42,11448668.17
2018-04-22,BTCEUR,7246.46,7350.87,7121,7175,1438.38,10433603.83
2018-04-21,BTCEUR,7249.49,7397.45,7003.18,7246.46,1880.36,13507348.78
2018-04-20,BTCEUR,6717.01,7289,6685,7249.49,2854.21,19779119.26
2018-04-19,BTCEUR,6607.49,6738.81,6550,6717.01,1710.4,11402106.64
2018-04-18,BTCEUR,6397.24,6681.04,6383.52,6607.49,1573.33,10303098.91
2018-04-17,BTCEUR,6514.99,6619.8,6340.7,6397.24,1654.17,10773566.29
2018-04-16,BTCEUR,6780.06,6818.59,6400,6514.99,1984.72,12968949.87
2018-04-15,BTCEUR,6512.99,6838.35,6512.99,6780.06,1720.58,11577254.88
2018-04-14,BTCEUR,6370,6603,6354.48,6512.99,1179.6,7674479.9
2018-04-13,BTCEUR,6433.42,6709.27,6300,6370,3389.42,22133702.86
2018-04-12,BTCEUR,5625.53,6568.02,5481,6433.42,5073.55,31318129.29
2018-04-11,BTCEUR,5538.59,5650,5522.19,5625.53,994.27,5554942.42
2018-04-10,BTCEUR,5516.55,5579.28,5439.03,5538.59,1313.17,7238122.08
2018-04-09,BTCEUR,5737.47,5862.37,5400.42,5516.55,2132.31,11944040.55
2018-04-08,BTCEUR,5596,5795,5595.99,5737.47,959.51,5474654.34
2018-04-07,BTCEUR,5401.76,5749,5395.92,5596,1304.58,7337186.96
2018-04-06,BTCEUR,5526.89,5592.96,5339.98,5401.76,1487.77,8060371.33
2018-04-05,BTCEUR,5535.34,5670.99,5371.27,5526.89,2298.46,12701548.49
2018-04-04,BTCEUR,6060.02,6064.4,5458.3,5535.34,2794.11,15973329.45
2018-04-03,BTCEUR,5741.99,6184.94,5703.74,6060.02,3220.5,19422328.43
2018-04-02,BTCEUR,5519.99,5798.49,5496,5741.99,1675.18,9526853.31
2018-04-01,BTCEUR,5637.34,5718.73,5240,5519.99,3337.74,18350174.86
2018-03-31,BTCEUR,5551.61,5870,5375,5637.34,2318.89,13246064.19
2018-03-30,BTCEUR,5749.11,5928.09,5350,5551.61,4698.3,26294870.61
2018-03-29,BTCEUR,6450,6465.73,5610.65,5749.11,5088.71,30469155.11
2018-03-28,BTCEUR,6305.03,6550,6270,6450,1694.73,10902029.06
2018-03-27,BTCEUR,6547.53,6612.45,6255,6305.03,2383.64,15326998.07
2018-03-26,BTCEUR,6873.12,6916.54,6322,6547.53,3121.57,20482161.9
2018-03-25,BTCEUR,6929.01,7061.75,6836.21,6873.12,1360.55,9441913.79
2018-03-24,BTCEUR,7200,7267.91,6907.01,6929.01,1772.6,12659895.18
2018-03-23,BTCEUR,7066.82,7200,6732.98,7200,2238.5,15512920.75
2018-03-22,BTCEUR,7216.46,7340.9,6885.4,7066.82,2359.68,16671107.52
2018-03-21,BTCEUR,7290,7479,7121,7216.46,2782.26,20365850.95
2018-03-20,BTCEUR,6955.38,7430,6720,7290,3549.89,25268632.02
2018-03-19,BTCEUR,6688.12,7110,6600.08,6955.38,4430.71,30308434.81
2018-03-18,BTCEUR,6395.99,6799,5930,6688.12,5222.61,32812618.97
2018-03-17,BTCEUR,6728,6806.42,6280,6395.99,2272.76,14802248.83
2018-03-16,BTCEUR,6726.42,7050,6468,6728,2549.78,17355336.62
2018-03-15,BTCEUR,6636.75,6850,6200,6726.42,4306.47,28307670.53
2018-03-14,BTCEUR,7390.01,7539,6408.36,6636.75,4980.12,34161867.85
2018-03-13,BTCEUR,7407.08,7686,7200,7390.01,2558.41,18939549.59
2018-03-12,BTCEUR,7737.21,8087,7120,7407.08,3929.75,29922447.96
2018-03-11,BTCEUR,7131.99,7945,6926,7737.21,3515.2,26307974.59
2018-03-10,BTCEUR,7539.6,7772.6,7077.58,7131.99,2951.66,22159058.72
2018-03-09,BTCEUR,7534.5,7628.09,6770,7539.6,6506.78,46911513.84
