date,symbol,open,high,low,close,volume,volume USD
2019-02-28,LTCUSD,44.96,46.65,44.38,45.57,186147.22,8490722.07
2019-02-27,LTCUSD,44.66,45.31,42.4,44.96,194640.03,8617709.82
2019-02-26,LTCUSD,45.37,45.7,44.05,44.66,123268.04,5518481.96
2019-02-25,LTCUSD,43.57,46.84,43.2,45.37,264717.27,11926838.2
2019-02-24,LTCUSD,51.19,53.49,42.5,43.57,524699.34,24828123.39
2019-02-23,LTCUSD,49.07,51.73,48.02,51.19,238649.55,11974254.93
2019-02-22,LTCUSD,48.46,49.47,47.83,49.07,162609.19,7948917.74
2019-02-21,LTCUSD,51.08,51.27,47.52,48.46,228567.44,11243692.37
2019-02-20,LTCUSD,46.91,51.91,46.24,51.08,354037.81,17695460.15
2019-02-19,LTCUSD,47.34,48.8,46.49,46.91,276660.16,13158563.0
2019-02-18,LTCUSD,43.45,48.72,43.12,47.34,477161.13,21986842.52
2019-02-17,LTCUSD,43.15,44.44,42.06,43.45,188531.85,8106329.06
2019-02-16,LTCUSD,42.08,43.91,41.92,43.15,141824.19,6106492.51
2019-02-15,LTCUSD,40.93,44.2,40.81,42.08,187513.19,7884816.28
2019-02-14,LTCUSD,41.21,41.99,39.64,40.93,129061.93,5301573.51
2019-02-13,LTCUSD,43.35,44.34,40.24,41.21,201482.89,8471033.07
2019-02-12,LTCUSD,42.37,44.06,41.4,43.35,186547.85,8010085.57
2019-02-11,LTCUSD,46.51,46.55,41.11,42.37,296191.09,12843798.4
2019-02-10,LTCUSD,44.2,47,41.72,46.51,327183.91,14725993.88
2019-02-09,LTCUSD,42.56,46.01,41.79,44.2,375044.94,16303713.9
2019-02-08,LTCUSD,32.85,44.44,32.52,42.56,732137.47,28865386.31
2019-02-07,LTCUSD,32.47,33.19,32.41,32.85,70777.66,2319676.97
2019-02-06,LTCUSD,33.95,34.1,31.95,32.47,159730.69,5215475.44
2019-02-05,LTCUSD,33.64,34.15,33.29,33.95,90917.86,3065715.68
2019-02-04,LTCUSD,32.87,34.04,32.87,33.64,108709.9,3650269.72
2019-02-03,LTCUSD,34.18,34.58,32.47,32.87,181736.38,6087193.31
2019-02-02,LTCUSD,32.37,34.66,32.19,34.18,145054.34,4812267.37
2019-02-01,LTCUSD,31.24,33.21,30.57,32.37,189140.88,6074436.39
2019-01-31,LTCUSD,31.53,32.22,30.82,31.24,96306.47,3030999.36
2019-01-30,LTCUSD,30.69,31.75,30.42,31.53,111601.46,3484632.6
2019-01-29,LTCUSD,30.96,31.21,29.86,30.69,85263.97,2608991.43
2019-01-28,LTCUSD,32.02,32.27,29.81,30.96,194687.67,5989448.37
2019-01-27,LTCUSD,32.64,32.9,31.06,32.02,98025.38,3167658.81
2019-01-26,LTCUSD,32.73,33.99,32.51,32.64,135810.28,4490514.28
2019-01-25,LTCUSD,32.47,32.95,31.84,32.73,145986.93,4720035.29
2019-01-24,LTCUSD,31.6,33.13,31.08,32.47,133865.54,4304147.88
2019-01-23,LTCUSD,31.48,32.2,31.31,31.6,98140.77,3111494.67
2019-01-22,LTCUSD,30.82,32.01,29.43,31.48,159079.17,4935419.91
2019-01-21,LTCUSD,30.61,31.37,30.38,30.82,84998.87,2616274.15
2019-01-20,LTCUSD,32.22,33.08,30.2,30.61,159522.0,4998679.51
2019-01-19,LTCUSD,30.96,33.15,30.95,32.22,110403.05,3548316.58
2019-01-18,LTCUSD,31.62,31.7,30.55,30.96,80798.25,2511289.52
2019-01-17,LTCUSD,31.4,31.73,29.98,31.62,160402.37,4958088.15
2019-01-16,LTCUSD,31.01,32.15,30.69,31.4,102471.59,3203398.71
2019-01-15,LTCUSD,32.07,32.48,30.22,31.01,170820.73,5395721.3
2019-01-14,LTCUSD,29.92,32.96,29.8,32.07,185346.71,5845241.31
2019-01-13,LTCUSD,32.04,32.88,29.51,29.92,239906.21,7386545.87
2019-01-12,LTCUSD,31.79,32.61,31.5,32.04,112336.85,3593169.52
2019-01-11,LTCUSD,33.27,33.71,30.73,31.79,227730.57,7420590.27
2019-01-10,LTCUSD,38.58,39.25,31.91,33.27,443924.07,15295243.31
2019-01-09,LTCUSD,39.13,40.03,38.31,38.58,165237.49,6480577.12
2019-01-08,LTCUSD,37.66,41.27,37.52,39.13,362153.34,14262230.25
2019-01-07,LTCUSD,38.88,39.48,37.21,37.66,234728.42,8951652.74
2019-01-06,LTCUSD,34.48,40.12,34.06,38.88,455906.14,17188518.79
2019-01-05,LTCUSD,32.02,36.11,32.01,34.48,333280.74,11443033.08
2019-01-04,LTCUSD,31.6,32.64,31.02,32.02,137648.46,4379612.16
2019-01-03,LTCUSD,32.94,33.1,31,31.6,115963.67,3700351.32
2019-01-02,LTCUSD,31.68,33.62,31.33,32.94,145815.46,4724392.76
2019-01-01,LTCUSD,29.78,31.96,29.12,31.68,159418.7,4840896.41
2018-12-31,LTCUSD,31.56,31.62,29.42,29.78,170381.65,5176293.63
2018-12-30,LTCUSD,30.69,31.95,29.95,31.56,149556.15,4657326.72
2018-12-29,LTCUSD,32.22,33.24,30.3,30.69,208135.59,6632606.1
2018-12-28,LTCUSD,27.72,33.53,27.72,32.22,312456.67,9701505.92
2018-12-27,LTCUSD,30.52,31.09,27.48,27.72,223032.66,6419969.31
2018-12-26,LTCUSD,30.77,31.89,28.9,30.52,248511.84,7525060.41
2018-12-25,LTCUSD,33.05,33.05,29.66,30.77,297121.66,9136381.49
2018-12-24,LTCUSD,33.07,36.78,32.52,33.05,504870.25,17584193.8
2018-12-23,LTCUSD,31.59,33.84,31.43,33.07,258853.22,8471147.46
2018-12-22,LTCUSD,30.2,31.6,29.73,31.59,136704.59,4177458.57
2018-12-21,LTCUSD,32.36,33.06,29.62,30.2,444190.39,13956015.03
2018-12-20,LTCUSD,29.05,33.2,28.66,32.36,482241.62,15137946.39
2018-12-19,LTCUSD,30.12,31.59,28.64,29.05,446339.18,13493901.87
2018-12-18,LTCUSD,28.88,30.2,27.71,30.12,285005.48,8212543.71
2018-12-17,LTCUSD,25.24,30.48,25.15,28.88,484721.53,13696876.84
2018-12-16,LTCUSD,23.4,26.67,23.33,25.24,411657.61,10543056.06
2018-12-15,LTCUSD,23.17,23.83,22.89,23.4,152883.92,3562657.16
2018-12-14,LTCUSD,22.84,23.46,22.17,23.17,213934.62,4878512.25
