timestamp,date,symbol,open,high,low,close,volume
1551412800000,2019-03-01 04:00:00,ZECUSD,51.09,52.12,51.07,51.78,3473.47292741
1551326400000,2019-02-28 04:00:00,ZECUSD,50.9,51.98,50.24,51.09,1137.72613153
1551240000000,2019-02-27 04:00:00,ZECUSD,52.09,52.53,49.52,50.9,4506.96143663
1551153600000,2019-02-26 04:00:00,ZECUSD,51.84,53.95,51.04,52.09,2044.86379058
1551067200000,2019-02-25 04:00:00,ZECUSD,51.66,52.72,50.75,51.84,1075.71321136
1550980800000,2019-02-24 04:00:00,ZECUSD,57.64,58.44,49.29,51.66,3831.07392478
1550894400000,2019-02-23 04:00:00,ZECUSD,53.43,57.96,52.27,57.64,1579.49422926
1550808000000,2019-02-22 04:00:00,ZECUSD,53.53,54.95,52.2,53.43,1287.58537732
1550721600000,2019-02-21 04:00:00,ZECUSD,53.81,54.88,52.21,53.53,2210.55686424
1550635200000,2019-02-20 04:00:00,ZECUSD,53.38,55.0,51.98,53.81,3388.62368938
1550548800000,2019-02-19 04:00:00,ZECUSD,54.02,56.15,52.95,53.38,3072.96462163
1550462400000,2019-02-18 04:00:00,ZECUSD,52.26,54.9,51.51,54.02,2754.7866639
1550376000000,2019-02-17 04:00:00,ZECUSD,50.21,52.43,50.0,52.26,1926.14209609
1550289600000,2019-02-16 04:00:00,ZECUSD,50.01,51.46,49.97,50.21,1797.12012062
1550203200000,2019-02-15 04:00:00,ZECUSD,50.85,50.85,50.85,50.85,0.0
1550116800000,2019-02-14 04:00:00,ZECUSD,52.62,52.62,50.81,50.85,1057.83135988
1550030400000,2019-02-13 04:00:00,ZECUSD,53.62,55.0,51.94,52.62,4649.33841657
1549944000000,2019-02-12 04:00:00,ZECUSD,50.5,53.86,50.5,53.62,4847.55636089
1549857600000,2019-02-11 04:00:00,ZECUSD,48.59,51.12,48.5,50.5,2081.83421621
1549771200000,2019-02-10 04:00:00,ZECUSD,49.48,50.14,48.38,48.59,2032.91841285
1549684800000,2019-02-09 04:00:00,ZECUSD,49.4,50.53,48.79,49.48,1171.40862188
1549598400000,2019-02-08 04:00:00,ZECUSD,46.1,52.3,45.89,49.4,16526.51626819
1549512000000,2019-02-07 04:00:00,ZECUSD,46.15,46.95,45.44,46.1,1848.1126019
1549425600000,2019-02-06 04:00:00,ZECUSD,45.8,46.29,45.16,46.15,2756.80946416
1549339200000,2019-02-05 04:00:00,ZECUSD,47.7,47.82,45.0,45.8,8599.9470843
1549252800000,2019-02-04 04:00:00,ZECUSD,47.35,47.85,47.35,47.7,1529.5711
1549166400000,2019-02-03 04:00:00,ZECUSD,48.87,48.87,47.35,47.35,898.10732232
1549080000000,2019-02-02 04:00:00,ZECUSD,48.32,49.12,47.73,48.87,2127.1141839
1548993600000,2019-02-01 04:00:00,ZECUSD,47.85,48.32,47.85,48.32,0.273666
1548907200000,2019-01-31 04:00:00,ZECUSD,49.32,49.49,47.64,47.85,1427.71174168
1548820800000,2019-01-30 04:00:00,ZECUSD,48.45,49.93,48.45,49.32,902.42751972
1548734400000,2019-01-29 04:00:00,ZECUSD,47.97,48.81,47.1,48.45,1208.77968649
1548648000000,2019-01-28 04:00:00,ZECUSD,49.57,50.31,47.49,47.97,5738.57759525
1548561600000,2019-01-27 04:00:00,ZECUSD,51.55,51.68,49.57,49.57,1553.76422729
1548475200000,2019-01-26 04:00:00,ZECUSD,52.12,53.0,51.27,51.55,302.02890169
1548388800000,2019-01-25 04:00:00,ZECUSD,53.25,53.25,51.69,52.12,881.92200958
1548302400000,2019-01-24 04:00:00,ZECUSD,51.6,53.33,51.6,53.25,2595.6698372
1548216000000,2019-01-23 04:00:00,ZECUSD,52.47,52.71,51.34,51.6,3119.081917
1548129600000,2019-01-22 04:00:00,ZECUSD,51.59,53.61,49.97,52.47,3903.70108701
1548043200000,2019-01-21 04:00:00,ZECUSD,52.35,52.37,51.09,51.59,1782.98696248
1547956800000,2019-01-20 04:00:00,ZECUSD,53.92,53.92,51.03,52.35,983.77271391
1547870400000,2019-01-19 04:00:00,ZECUSD,53.2,54.43,52.61,53.92,906.6458253
1547784000000,2019-01-18 04:00:00,ZECUSD,53.53,53.53,52.49,53.2,43.73017011
1547697600000,2019-01-17 04:00:00,ZECUSD,52.48,54.1,52.36,53.53,5696.01436466
1547611200000,2019-01-16 04:00:00,ZECUSD,53.3,54.48,52.22,52.48,4142.10981435
1547524800000,2019-01-15 04:00:00,ZECUSD,54.9,55.08,52.57,53.3,4027.98521854
1547438400000,2019-01-14 04:00:00,ZECUSD,52.93,56.88,52.78,54.9,3268.91115583
1547352000000,2019-01-13 04:00:00,ZECUSD,56.06,56.28,52.02,52.93,1126.66420391
1547265600000,2019-01-12 04:00:00,ZECUSD,54.96,56.55,54.4,56.06,327.37782319
1547179200000,2019-01-11 04:00:00,ZECUSD,57.9,58.71,54.44,54.96,10729.66703651
1547092800000,2019-01-10 04:00:00,ZECUSD,60.22,60.32,52.02,57.9,13700.57795504
1547006400000,2019-01-09 04:00:00,ZECUSD,60.82,61.65,59.1,60.22,2628.462144
1546920000000,2019-01-08 04:00:00,ZECUSD,59.63,62.09,58.82,60.82,8532.72200432
1546833600000,2019-01-07 04:00:00,ZECUSD,60.98,61.19,59.26,59.63,2237.43427547
1546747200000,2019-01-06 04:00:00,ZECUSD,57.6,62.8,56.0,60.98,7687.36730859
1546660800000,2019-01-05 04:00:00,ZECUSD,59.11,59.86,56.32,57.6,2025.34690083
1546574400000,2019-01-04 04:00:00,ZECUSD,57.54,59.52,57.54,59.11,79.319834
1546488000000,2019-01-03 04:00:00,ZECUSD,59.81,60.21,56.65,57.54,2443.3044997
1546401600000,2019-01-02 04:00:00,ZECUSD,57.79,61.82,57.22,59.81,3194.63313641
1546315200000,2019-01-01 04:00:00,ZECUSD,54.8,59.5,54.06,57.79,10520.04252488
1546228800000,2018-12-31 04:00:00,ZECUSD,58.22,58.67,53.53,54.8,8053.55340357
1546142400000,2018-12-30 04:00:00,ZECUSD,59.0,60.73,57.75,58.22,2293.08055584
1546056000000,2018-12-29 04:00:00,ZECUSD,62.0,63.06,58.0,59.0,2645.45223066
1545969600000,2018-12-28 04:00:00,ZECUSD,55.18,63.1,54.74,62.0,8010.34430432
1545883200000,2018-12-27 04:00:00,ZECUSD,59.52,59.63,54.64,55.18,2500.07990753
1545796800000,2018-12-26 04:00:00,ZECUSD,61.89,62.27,57.87,59.52,1727.9353515
1545710400000,2018-12-25 04:00:00,ZECUSD,60.47,62.44,58.85,61.89,2783.73347975
1545624000000,2018-12-24 04:00:00,ZECUSD,68.45,71.4,59.85,60.47,3606.05398657
1545537600000,2018-12-23 04:00:00,ZECUSD,65.55,68.88,63.08,68.45,2685.47955668
1545451200000,2018-12-22 04:00:00,ZECUSD,60.18,65.55,59.16,65.55,2010.99959297
1545364800000,2018-12-21 04:00:00,ZECUSD,62.21,65.34,59.13,60.18,3362.71916782
1545278400000,2018-12-20 04:00:00,ZECUSD,56.84,65.78,56.04,62.21,8190.82168553
1545192000000,2018-12-19 04:00:00,ZECUSD,59.25,61.41,55.56,56.84,5206.58825845
1545105600000,2018-12-18 04:00:00,ZECUSD,55.72,59.95,53.39,59.25,5090.56626973
1545019200000,2018-12-17 04:00:00,ZECUSD,50.85,57.03,50.52,55.72,6646.19098452
1544932800000,2018-12-16 04:00:00,ZECUSD,50.96,52.6,49.52,50.85,3320.12162862
1544846400000,2018-12-15 04:00:00,ZECUSD,48.64,51.2,47.65,50.96,1690.73319415
1544760000000,2018-12-14 04:00:00,ZECUSD,50.64,51.06,47.74,48.64,5969.25612908
1544673600000,2018-12-13 04:00:00,ZECUSD,53.4,53.54,49.57,50.64,10040.07077151
1544587200000,2018-12-12 04:00:00,ZECUSD,52.98,56.93,52.75,53.4,7656.25693002
1544500800000,2018-12-11 04:00:00,ZECUSD,54.92,55.5,51.77,52.98,5705.36570775
1544414400000,2018-12-10 04:00:00,ZECUSD,59.17,59.17,54.03,54.92,3891.74048983
1544328000000,2018-12-09 04:00:00,ZECUSD,56.45,60.22,56.45,59.17,1068.622346
1544241600000,2018-12-08 04:00:00,ZECUSD,53.13,59.1,52.73,56.45,4999.74466857
1544155200000,2018-12-07 04:00:00,ZECUSD,53.13,53.13,53.13,53.13,0.0
1544068800000,2018-12-06 04:00:00,ZECUSD,64.87,67.72,52.51,53.13,30013.42576532
1543982400000,2018-12-05 04:00:00,ZECUSD,72.4,73.24,64.4,64.87,20285.44855765
1543896000000,2018-12-04 04:00:00,ZECUSD,70.05,78.0,68.53,72.4,5789.02613401
1543809600000,2018-12-03 04:00:00,ZECUSD,76.76,77.32,67.88,70.05,6875.574365
1543723200000,2018-12-02 04:00:00,ZECUSD,79.54,80.24,74.73,76.76,2704.36830485
1543636800000,2018-12-01 04:00:00,ZECUSD,78.89,82.2,78.0,79.54,1248.41207245
1543550400000,2018-11-30 04:00:00,ZECUSD,87.51,88.47,75.56,78.89,8255.22602788
1543464000000,2018-11-29 04:00:00,ZECUSD,79.06,97.0,78.1,87.51,20999.81204334
1543377600000,2018-11-28 04:00:00,ZECUSD,74.24,83.62,72.8,79.06,19454.79927537
1543291200000,2018-11-27 04:00:00,ZECUSD,64.2,78.3,62.01,74.24,27229.16959257
1543204800000,2018-11-26 04:00:00,ZECUSD,68.98,72.53,61.0,64.2,9327.92845588
1543118400000,2018-11-25 04:00:00,ZECUSD,60.03,72.69,58.75,68.98,12701.92523152
1543032000000,2018-11-24 04:00:00,ZECUSD,77.11,77.54,60.0,60.03,7934.69277085
1542945600000,2018-11-23 04:00:00,ZECUSD,74.54,81.24,73.75,77.11,5149.55033395
1542859200000,2018-11-22 04:00:00,ZECUSD,83.16,84.13,73.78,74.54,6160.65247876
1542772800000,2018-11-21 04:00:00,ZECUSD,82.98,87.78,80.0,83.16,4892.35211043
1542686400000,2018-11-20 04:00:00,ZECUSD,97.21,97.21,77.17,82.98,27904.39187254
